"cid","clust"
"CID_10127622",1
"CID_10152654",1
"CID_10184653",2
"CID_10206",2
"CID_10207",3
"CID_10235",4
"CID_10288191",1
"CID_10302451",2
"CID_10331844",5
"CID_10366136",2
"CID_104741",6
"CID_104838",7
"CID_108143",1
"CID_11167602",1
"CID_11213558",8
"CID_1123",9
"CID_11273",6
"CID_11282283",2
"CID_11315474",1
"CID_11387605",2
"CID_11485656",1
"CID_11494412",4
"CID_11511120",2
"CID_11520894",6
"CID_11538455",2
"CID_11539025",8
"CID_11556711",5
"CID_11683",6
"CID_11707110",2
"CID_11719003",1
"CID_1174",10
"CID_11749858",1
"CID_1183",3
"CID_11955716",4
"CID_11960529",6
"CID_123631",2
"CID_126941",1
"CID_134780",4
"CID_135398510",8
"CID_135401907",8
"CID_135564890",11
"CID_135564985",8
"CID_159324",11
"CID_16007391",1
"CID_16049404",5
"CID_16222096",2
"CID_16362",4
"CID_16722836",2
"CID_17755052",2
"CID_190",10
"CID_19910",3
"CID_204",9
"CID_2082",1
"CID_208908",11
"CID_2123",12
"CID_2141",9
"CID_2145",6
"CID_2153",8
"CID_216239",1
"CID_216326",4
"CID_2170",4
"CID_2179",11
"CID_2187",12
"CID_2202",3
"CID_222528",13
"CID_222786",6
"CID_2244",5
"CID_2265",8
"CID_2333",3
"CID_2391",5
"CID_24360",6
"CID_24748573",1
"CID_24756910",1
"CID_24765037",2
"CID_24775005",2
"CID_2478",14
"CID_2482",1
"CID_24826799",2
"CID_24889392",2
"CID_25102847",2
"CID_25117126",11
"CID_25127713",2
"CID_25141092",2
"CID_25145656",1
"CID_25167777",11
"CID_25171648",2
"CID_25183872",1
"CID_2578",9
"CID_2662",11
"CID_2708",5
"CID_2722",3
"CID_2723601",10
"CID_2756",10
"CID_2758",15
"CID_2788",3
"CID_2812",5
"CID_285033",2
"CID_2950",3
"CID_2955",11
"CID_3011155",16
"CID_30323",6
"CID_3037",3
"CID_3062316",2
"CID_3081361",2
"CID_3100",5
"CID_3108",2
"CID_3117",9
"CID_3121",7
"CID_31307",6
"CID_3151",4
"CID_3168",4
"CID_3198",1
"CID_323",5
"CID_3278",1
"CID_3334",1
"CID_3366",10
"CID_3385",8
"CID_3516",5
"CID_3559",4
"CID_35802",1
"CID_3598",3
"CID_3657",9
"CID_3672",5
"CID_3681",13
"CID_3690",9
"CID_3728",3
"CID_387447",5
"CID_3899",1
"CID_3902",12
"CID_392622",5
"CID_3950",9
"CID_3957",4
"CID_400769",6
"CID_4030",1
"CID_4055",5
"CID_4114",8
"CID_4122",1
"CID_41684",1
"CID_4189",1
"CID_4211",5
"CID_4212",3
"CID_42574",1
"CID_4261",1
"CID_42642645",2
"CID_42642648",2
"CID_441276",6
"CID_44187362",1
"CID_4421",5
"CID_444795",6
"CID_444972",7
"CID_445154",3
"CID_445354",6
"CID_445639",7
"CID_445858",3
"CID_4463",4
"CID_446541",7
"CID_448013",6
"CID_4485",1
"CID_448537",3
"CID_4499",1
"CID_4534",3
"CID_460612",5
"CID_4614",5
"CID_46213929",2
"CID_46216796",2
"CID_46220502",2
"CID_4632",3
"CID_46843057",1
"CID_46926350",2
"CID_47318",10
"CID_4735",3
"CID_47472",1
"CID_4748",4
"CID_4912",3
"CID_49803313",2
"CID_49806720",2
"CID_49836020",2
"CID_49846579",2
"CID_49848070",2
"CID_49855250",1
"CID_49867926",11
"CID_49867936",1
"CID_4993",11
"CID_50515",5
"CID_5073",2
"CID_5090",11
"CID_5155",16
"CID_5280343",3
"CID_5280443",3
"CID_5280460",3
"CID_5280567",3
"CID_5280961",3
"CID_5281605",3
"CID_5281855",3
"CID_5288209",6
"CID_5291",2
"CID_5311",5
"CID_53232",6
"CID_5328940",2
"CID_5329102",1
"CID_5330286",2
"CID_5337997",3
"CID_5340",11
"CID_5394",10
"CID_5405",5
"CID_5426",4
"CID_5430",10
"CID_54454",6
"CID_5453",17
"CID_54676228",1
"CID_54758501",2
"CID_5494449",2
"CID_5564",3
"CID_5634",7
"CID_56599306",11
"CID_56649450",2
"CID_5694",1
"CID_5702063",3
"CID_57335384",2
"CID_57363",6
"CID_57379345",2
"CID_5743",6
"CID_5746",16
"CID_57469",12
"CID_5754",6
"CID_5770",2
"CID_5865",6
"CID_5881",6
"CID_59473233",2
"CID_5959",1
"CID_59603054",3
"CID_5991",6
"CID_5994",6
"CID_60198",6
"CID_6167",2
"CID_6215",6
"CID_64143",5
"CID_644241",1
"CID_6445562",1
"CID_6450551",1
"CID_64715",6
"CID_65015",4
"CID_6505803",6
"CID_65411",15
"CID_65708",5
"CID_65999",5
"CID_667476",3
"CID_667490",10
"CID_667639",3
"CID_6741",6
"CID_68712",15
"CID_689043",3
"CID_6918638",5
"CID_71329",11
"CID_71384",15
"CID_71481097",1
"CID_71496458",2
"CID_71731823",2
"CID_72435",16
"CID_8369",3
"CID_864",7
"CID_8739",11
"CID_89105",3
"CID_896",3
"CID_89683805",11
"CID_9015",3
"CID_9212",5
"CID_936",5
"CID_9403",6
"CID_9444",16
"CID_97226",6
"CID_9865515",1
"CID_9878",6
"CID_9888590",5
"CID_9903",13
"CID_9911830",1
"CID_9915743",1
"CID_9933475",2
"CID_10114",6
"CID_10212",16
"CID_1046",10
"CID_104762",16
"CID_10631",6
"CID_107751",5
"CID_107985",15
"CID_110635",4
"CID_11289",3
"CID_119",7
"CID_119607",11
"CID_12035",7
"CID_124087",4
"CID_13109",6
"CID_132441",5
"CID_1349907",8
"CID_135398513",16
"CID_135398641",16
"CID_135398737",4
"CID_135398739",16
"CID_135398740",16
"CID_135398745",4
"CID_13791",6
"CID_149096",4
"CID_150311",4
"CID_1547484",5
"CID_1549000",5
"CID_15723",5
"CID_158781",5
"CID_1646",9
"CID_16490",6
"CID_169870",6
"CID_1727",11
"CID_1775",5
"CID_1833",3
"CID_1892",16
"CID_1981",1
"CID_1986",11
"CID_2018",1
"CID_20279",16
"CID_2092",2
"CID_21307",5
"CID_2159",2
"CID_2161",5
"CID_2196",2
"CID_2197",5
"CID_222757",6
"CID_223997",6
"CID_2249",1
"CID_2266",7
"CID_2315",11
"CID_2343",11
"CID_23667630",2
"CID_236702",6
"CID_2375",1
"CID_2378",5
"CID_24066",16
"CID_2435",2
"CID_2466",1
"CID_2471",5
"CID_247839",6
"CID_2554",5
"CID_26248",5
"CID_2720",11
"CID_2724385",6
"CID_2727",11
"CID_2732",11
"CID_2733",3
"CID_27447",5
"CID_2754",4
"CID_2761171",10
"CID_2762",2
"CID_28061",10
"CID_2972",3
"CID_3019",11
"CID_3034010",7
"CID_31401",13
"CID_31404",3
"CID_3169",5
"CID_3182",16
"CID_32798",6
"CID_3295",11
"CID_3324",10
"CID_3331",5
"CID_3332",5
"CID_3333",1
"CID_3335",5
"CID_3339",1
"CID_33613",3
"CID_3371",5
"CID_3373",2
"CID_3374",4
"CID_338",3
"CID_3397",1
"CID_34312",5
"CID_3446",7
"CID_3463",1
"CID_3478",2
"CID_3488",2
"CID_35370",16
"CID_36339",5
"CID_3647",11
"CID_3676",1
"CID_3702",1
"CID_3715",1
"CID_3747",5
"CID_3749",4
"CID_37542",16
"CID_3767",1
"CID_3825",5
"CID_3878",11
"CID_3883",11
"CID_39042",1
"CID_39147",1
"CID_39562",5
"CID_4021",5
"CID_4038",1
"CID_4044",5
"CID_4100",11
"CID_4107",5
"CID_4173",10
"CID_41781",1
"CID_4197",10
"CID_4235",1
"CID_439501",6
"CID_4409",3
"CID_44093",7
"CID_441314",13
"CID_441401",2
"CID_443936",6
"CID_443953",6
"CID_443955",4
"CID_4472",5
"CID_4488",1
"CID_4495",5
"CID_4507",1
"CID_4539",4
"CID_456201",2
"CID_4594",10
"CID_4740",16
"CID_47528",1
"CID_4760",5
"CID_4764",3
"CID_4781",5
"CID_4826",1
"CID_4828",1
"CID_4831",4
"CID_4843",9
"CID_4891",4
"CID_4909",5
"CID_4911",5
"CID_4917",4
"CID_493591",13
"CID_4977",16
"CID_50248",1
"CID_5070",11
"CID_5092",2
"CID_5094",10
"CID_51039",5
"CID_5152",3
"CID_5215",11
"CID_525",7
"CID_5280453",6
"CID_5280805",16
"CID_5282230",5
"CID_5284583",9
"CID_5284594",6
"CID_5284627",15
"CID_5311067",6
"CID_5315",11
"CID_5319",11
"CID_5320",11
"CID_5323",11
"CID_5323714",8
"CID_5324",11
"CID_5325",11
"CID_5326",11
"CID_5328",11
"CID_5329",11
"CID_5330",11
"CID_5332",11
"CID_5336",11
"CID_5342",5
"CID_5344",11
"CID_5401",2
"CID_54677470",1
"CID_54677971",1
"CID_54677972",1
"CID_5479",10
"CID_5505",11
"CID_5510",5
"CID_55245",6
"CID_5531",12
"CID_5546",11
"CID_5560",11
"CID_5578",10
"CID_5597",2
"CID_5610",3
"CID_5707",1
"CID_5717",2
"CID_5744",6
"CID_5753",6
"CID_5756",6
"CID_5757",6
"CID_5775",3
"CID_5790",16
"CID_5803",3
"CID_5834",6
"CID_5870",6
"CID_5879",6
"CID_5920",3
"CID_5952",6
"CID_6029",16
"CID_60464",4
"CID_60490",5
"CID_60795",4
"CID_60825",16
"CID_60835",5
"CID_60846",5
"CID_60961",16
"CID_610479",5
"CID_6234",15
"CID_6238",6
"CID_6253",16
"CID_6256",16
"CID_6271",3
"CID_6279",6
"CID_6291",6
"CID_638278",3
"CID_64139",4
"CID_6436",6
"CID_65663",18
"CID_657237",16
"CID_657272",13
"CID_657298",10
"CID_65944",16
"CID_65957",4
"CID_65981",5
"CID_6604200",8
"CID_66414",6
"CID_666418",10
"CID_6674",13
"CID_667493",10
"CID_6872",5
"CID_688272",2
"CID_7108",5
"CID_71188",4
"CID_71616",12
"CID_71651",5
"CID_7172",3
"CID_71815",10
"CID_7184",3
"CID_72300",3
"CID_774",10
"CID_84029",6
"CID_8593",5
"CID_9046",6
"CID_9324",6
"CID_938",5
"CID_941651",4
"CID_9642",6
"CID_135400182",1
"CID_2794",1
"CID_72099",5
"CID_4649",3
"CID_114917",5
"CID_131411",5
"CID_1548887",5
"CID_1549120",5
"CID_3025",1
"CID_4487",5
"CID_4619",5
"CID_5282367",5
"CID_5335",11
"CID_54705095",16
"CID_5745",6
"CID_6249",5
"CID_6634",11
"CID_667467",5
"CID_72",3
"CID_1030",13
"CID_10635",6
"CID_10680",5
"CID_11005",7
"CID_114850",16
"CID_129228",5
"CID_130313",15
"CID_13456556",11
"CID_135398744",2
"CID_135398748",16
"CID_137",7
"CID_13712",16
"CID_14720269",11
"CID_15376",4
"CID_15443",4
"CID_1549517",9
"CID_16231",11
"CID_17134",11
"CID_171548",7
"CID_1989",11
"CID_21109",2
"CID_2148",1
"CID_2151",5
"CID_2165",3
"CID_2176",1
"CID_2206",5
"CID_221493",13
"CID_222285",13
"CID_22571",5
"CID_2337",1
"CID_2345",5
"CID_243",5
"CID_2537",15
"CID_2723",3
"CID_2741",5
"CID_2763",1
"CID_2797",1
"CID_2942",10
"CID_2998",3
"CID_3038",11
"CID_3092",3
"CID_311",7
"CID_3114",5
"CID_31593",5
"CID_3282",5
"CID_3292",5
"CID_3325",11
"CID_3365",12
"CID_3440",1
"CID_3475",11
"CID_3671",5
"CID_3693427",11
"CID_37175",1
"CID_3735",5
"CID_3736",13
"CID_3759",5
"CID_3760",1
"CID_3893",7
"CID_4011",4
"CID_40632",5
"CID_4101",17
"CID_4165",4
"CID_4170",11
"CID_4174",1
"CID_4205",4
"CID_4284",5
"CID_43231",11
"CID_439503",13
"CID_4410",4
"CID_444",1
"CID_444305",7
"CID_4449",2
"CID_4493",8
"CID_4595",4
"CID_460",3
"CID_4621",5
"CID_4633",1
"CID_464",5
"CID_4678",13
"CID_4754",1
"CID_4806",11
"CID_4810",2
"CID_4943",3
"CID_5002",4
"CID_50942",16
"CID_5281708",3
"CID_5284607",5
"CID_5333",11
"CID_5339",11
"CID_5355",2
"CID_5358",3
"CID_5359",5
"CID_5362119",5
"CID_5379",4
"CID_5468",5
"CID_5472",4
"CID_54766",1
"CID_5593",5
"CID_564",7
"CID_56959",1
"CID_5780",13
"CID_588",15
"CID_597",10
"CID_6018",2
"CID_6054",5
"CID_6103",11
"CID_6199",3
"CID_6301",3
"CID_638024",2
"CID_66065",16
"CID_6623",3
"CID_6839",4
"CID_6989",3
"CID_70846",5
"CID_7175",3
"CID_71771",5
"CID_72894",11
"CID_736186",3
"CID_8569",3
"CID_8842",18
"CID_8955",6
"CID_904",5
"CID_9047",11
"CID_91610",2
"CID_942",4
"CID_16258",5
"CID_4121",4
"CID_54746",4
"CID_5656",6
"CID_5734",11
"CID_7436",3
"CID_10133",13
"CID_10140",13
"CID_10393",3
"CID_10621",16
"CID_114811",1
"CID_12560",6
"CID_134601",5
"CID_135398742",16
"CID_135511839",5
"CID_151075",5
"CID_151166",1
"CID_15459",16
"CID_1548943",3
"CID_1732",3
"CID_18343",16
"CID_2005",7
"CID_21700",6
"CID_21704",16
"CID_2541",5
"CID_2581",5
"CID_2717",4
"CID_27200",1
"CID_2733526",5
"CID_28417",6
"CID_3000226",6
"CID_31553",16
"CID_3515",3
"CID_36462",16
"CID_439268",13
"CID_439280",3
"CID_440936",13
"CID_441074",2
"CID_441140",6
"CID_441336",6
"CID_441383",2
"CID_442435",16
"CID_443604",6
"CID_443879",3
"CID_443943",6
"CID_444020",13
"CID_446596",7
"CID_451668",16
"CID_47965",3
"CID_51040",1
"CID_5280793",6
"CID_5281565",4
"CID_5281613",16
"CID_5281767",3
"CID_5284513",3
"CID_5311047",2
"CID_5353831",10
"CID_5362065",16
"CID_5362129",5
"CID_5447130",3
"CID_54690031",1
"CID_5541",7
"CID_5755",6
"CID_5833",6
"CID_5905",16
"CID_6036",13
"CID_60606",4
"CID_60953",16
"CID_6230",6
"CID_6251",13
"CID_6526396",16
"CID_656516",13
"CID_65784",7
"CID_68617",4
"CID_6883",15
"CID_68844",2
"CID_6915944",16
"CID_72139",3
"CID_72281",16
"CID_86472",18
"CID_89594",4
"CID_9415",6
"CID_9782",6
"CID_9880",6
"CID_1110",7
"CID_119570",15
"CID_123606",4
"CID_123619",11
"CID_123879",4
"CID_124886",7
"CID_12597",13
"CID_131204",13
"CID_134669",7
"CID_14520",7
"CID_145815",7
"CID_148192",5
"CID_157355",13
"CID_16976",5
"CID_17513",16
"CID_18087",10
"CID_1935",11
"CID_1990",9
"CID_2075",3
"CID_2083",3
"CID_21102",1
"CID_2130",15
"CID_2230",2
"CID_2369",2
"CID_2447",9
"CID_2477",4
"CID_2520",1
"CID_2682",7
"CID_2803",11
"CID_3001055",1
"CID_3058754",11
"CID_3090",10
"CID_3341",4
"CID_3362",3
"CID_34040",2
"CID_3418",5
"CID_3562",19
"CID_36324",3
"CID_3658",5
"CID_3724",13
"CID_3741",13
"CID_3775",5
"CID_3779",3
"CID_37907",1
"CID_38103",2
"CID_3822",4
"CID_3827",4
"CID_39186",4
"CID_4006",3
"CID_4032",15
"CID_4054",15
"CID_4075",3
"CID_4117",5
"CID_4168",1
"CID_444025",6
"CID_448812",4
"CID_4581",3
"CID_4768",5
"CID_47866",15
"CID_4848",4
"CID_4850",2
"CID_4888",5
"CID_4992",5
"CID_5161",3
"CID_5281",7
"CID_5282182",7
"CID_5282443",5
"CID_5284587",6
"CID_5288783",6
"CID_5311217",5
"CID_5324346",1
"CID_5360515",6
"CID_5388962",5
"CID_54260",2
"CID_54671008",1
"CID_5487",11
"CID_5591",6
"CID_5641",9
"CID_5720",5
"CID_5816",3
"CID_5819",3
"CID_5902",5
"CID_5910",8
"CID_59227",4
"CID_5977",19
"CID_6034",1
"CID_6083",16
"CID_60855",13
"CID_6288",7
"CID_6322",7
"CID_638034",6
"CID_6503",9
"CID_65492",13
"CID_65958",4
"CID_688561",3
"CID_68873",6
"CID_6918493",5
"CID_700",9
"CID_71157",1
"CID_71277",6
"CID_71335",4
"CID_71485",16
"CID_7151",1
"CID_71916",3
"CID_73303",16
"CID_750",7
"CID_7638",3
"CID_77993",4
"CID_785",3
"CID_8567",13
"CID_8798",10
"CID_8969",4
"CID_9330",5
"CID_9509",1
"CID_967",3
"CID_985",7
"CID_1054",10
"CID_121396",7
"CID_26618",3
"CID_2787",1
"CID_29327",13
"CID_3081",15
"CID_33624",2
"CID_3604",14
"CID_370",3
"CID_4059",5
"CID_4855",4
"CID_4913",1
"CID_5042",1
"CID_5143",5
"CID_5311454",3
"CID_5343",11
"CID_54679224",3
"CID_66826",3
"CID_91670",6
"CID_11808",8
"CID_1269845",10
"CID_14130",1
"CID_179651",6
"CID_2264",2
"CID_3314",3
"CID_3778",5
"CID_441130",16
"CID_441328",16
"CID_443872",6
"CID_5054",3
"CID_5095",6
"CID_5258",5
"CID_5282136",2
"CID_5483",7
"CID_60651",4
"CID_60857",4
"CID_616236",3
"CID_65632",7
"CID_68310",3
"CID_71668",3
"CID_8089",18
"CID_5576",15
"CID_1176",9
"CID_4915",1
"CID_449215",15
"CID_5280489",6
"CID_444036",6
"CID_5029",11
"CID_5280723",7
"CID_5462501",5
